trialJobId,gamma_joao,reward,lr,intermediate
VihAU,1,3.13267186769894,0.01,[3.1326718676989387]
HT5VJ,0.01,3.14084372706077,0.001,[3.1408437270607683]
oJu8j,0.1,3.15162848277684,0.01,[3.151628482776837]
CXH4a,1,3.1534086140693,0.001,[3.153408614069296]
JCVBx,0.01,3.16306272806042,0.001,[3.163062728060423]
oXnsK,0.1,3.17139273554159,0.001,[3.171392735541592]
DPMY9,0.01,3.19046073052715,0.0001,[3.1904607305271493]
RTPQO,0.1,3.1922570650595,0.0001,[3.192257065059495]
lRKiY,1,3.23865676259762,0.0001,[3.238656762597625]
