reward,trialJobId,gamma_joao,lr,intermediate
3.167818130454878,s6vhG,0.01,0.0001,[3.167818130454878]
3.1744523820215766,Q3HyT,0.01,0.01,[3.1744523820215766]
3.2264042946834053,gvEMU,1,0.0001,[3.2264042946834053]
